Dataset,model,position,points,MASE
M3 Other,N-HITS,19,0.0,
M3 Quarterly,N-HITS,3,15.0,1.136
M3 Yearly,N-HITS,2,18.0,2.824
M4 Daily,N-HITS,3,15.0,1.142
M4 Hourly,N-HITS,12,0.0,3.781
M4 Monthly,N-HITS,5,10.0,0.987
M4 Quarterly,N-HITS,4,13.0,1.226
M4 Weekly,N-HITS,3,15.0,0.473
NN5 Daily,N-HITS,6,8.0,0.908
NN5 Weekly,N-HITS,10,1.0,0.864
Pedestrians,N-HITS,1,25.0,0.241
Rideshare,N-HITS,15,0.0,4.041
Saugeen,N-HITS,19,0.0,1.668
Solar Weekly,N-HITS,18,0.0,1.384
Sunspot,N-HITS,18,0.0,0.166
Temp. Rain,N-HITS,5,10.0,0.795
Tourism Monthly,N-HITS,3,15.0,1.476
Tourism Quarterly,N-HITS,2,18.0,1.535
Tourism Yearly,N-HITS,4,13.0,3.195
Traffic Hourly,N-HITS,4,13.0,0.85
Traffic Weekly,N-HITS,2,18.0,1.083
US Births,N-HITS,3,15.0,1.51
Vehicle Trips,N-HITS,7,6.0,1.728
Weather,N-HITS,1,25.0,0.621
COVID,NLinear independent,8,4.0,6.287
Electricity Hourly,NLinear independent,5,10.0,1.891
Electricity Weekly,NLinear independent,17,0.0,1.001
FRED-MD,NLinear independent,3,15.0,0.499
M3 Other,NLinear independent,19,0.0,
NN5 Daily,NLinear independent,11,0.0,0.957
Saugeen,NLinear independent,4,13.0,1.443
Solar 10 Mins,NLinear independent,17,0.0,1.781
Solar Weekly,NLinear independent,17,0.0,1.312
Sunspot,NLinear independent,7,6.0,0.083
Tourism Yearly,NLinear independent,20,0.0,
Traffic Hourly,NLinear independent,9,2.0,0.922
US Births,NLinear independent,15,0.0,2.145
Carparts,NLinear multivariate,18,0.0,1.045
COVID,NLinear multivariate,1,25.0,5.176
Electricity Hourly,NLinear multivariate,3,15.0,1.882
Electricity Weekly,NLinear multivariate,3,15.0,0.792
FRED-MD,NLinear multivariate,19,0.0,0.843
Hospital,NLinear multivariate,15,0.0,0.803
M3 Other,NLinear multivariate,19,0.0,
NN5 Daily,NLinear multivariate,11,0.0,0.957
NN5 Weekly,NLinear multivariate,3,15.0,0.847
Rideshare,NLinear multivariate,20,0.0,4.418
Saugeen,NLinear multivariate,4,13.0,1.443
Solar 10 Mins,NLinear multivariate,16,0.0,1.771
Solar Weekly,NLinear multivariate,15,0.0,1.248
Sunspot,NLinear multivariate,7,6.0,0.083
Temp. Rain,NLinear multivariate,20,0.0,1.725
Tourism Yearly,NLinear multivariate,20,0.0,
Traffic Hourly,NLinear multivariate,8,4.0,0.918
Traffic Weekly,NLinear multivariate,6,8.0,1.103
US Births,NLinear multivariate,15,0.0,2.145
Carparts,PatchTST independent,20,0.0,1.142
COVID,PatchTST independent,20,0.0,8.918
Electricity Hourly,PatchTST independent,11,0.0,2.131
Electricity Weekly,PatchTST independent,16,0.0,0.996
FRED-MD,PatchTST independent,2,18.0,0.47
Hospital,PatchTST independent,20,0.0,0.855
M3 Other,PatchTST independent,19,0.0,
NN5 Weekly,PatchTST independent,19,0.0,1.011
Rideshare,PatchTST independent,8,4.0,3.617
Saugeen,PatchTST independent,9,2.0,1.492
Solar 10 Mins,PatchTST independent,3,15.0,1.439
Sunspot,PatchTST independent,12,0.0,0.119
Tourism Yearly,PatchTST independent,20,0.0,
Traffic Hourly,PatchTST independent,13,0.0,0.964
Traffic Weekly,PatchTST independent,20,0.0,1.266
US Births,PatchTST independent,20,0.0,2.607
Carparts,PatchTST multivariate,19,0.0,1.075
COVID,PatchTST multivariate,16,0.0,8.111
Electricity Hourly,PatchTST multivariate,12,0.0,2.138
Electricity Weekly,PatchTST multivariate,8,4.0,0.846
FRED-MD,PatchTST multivariate,7,6.0,0.573
Hospital,PatchTST multivariate,16,0.0,0.809
M3 Other,PatchTST multivariate,19,0.0,
NN5 Daily,PatchTST multivariate,19,0.0,1.017
NN5 Weekly,PatchTST multivariate,18,0.0,0.961
Rideshare,PatchTST multivariate,10,1.0,3.753
Saugeen,PatchTST multivariate,9,2.0,1.492
Solar 10 Mins,PatchTST multivariate,2,18.0,1.437
Sunspot,PatchTST multivariate,12,0.0,0.119
Temp. Rain,PatchTST multivariate,7,6.0,0.861
Tourism Yearly,PatchTST multivariate,20,0.0,
Traffic Hourly,PatchTST multivariate,7,6.0,0.896
Traffic Weekly,PatchTST multivariate,16,0.0,1.168
US Births,PatchTST multivariate,20,0.0,2.607
Aus. Elecdemand,TiDE,9,2.0,1.217
Carparts,TiDE,3,15.0,0.747
CIF 2016,TiDE,17,0.0,2.352
Dominick,TiDE,7,6.0,0.55
Electricity Hourly,TiDE,10,1.0,2.127
Electricity Weekly,TiDE,6,8.0,0.811
FRED-MD,TiDE,20,0.0,0.901
Hospital,TiDE,19,0.0,0.85
Kaggle Weekly,TiDE,10,1.0,0.72
KDD,TiDE,8,4.0,1.304
M1 Monthly,TiDE,15,0.0,1.501
M1 Quarterly,TiDE,17,0.0,2.777
M1 Yearly,TiDE,17,0.0,6.258
M3 Monthly,TiDE,13,0.0,1.066
M3 Other,TiDE,19,0.0,
M3 Quarterly,TiDE,15,0.0,1.522
M3 Yearly,TiDE,11,0.0,3.272
M4 Daily,TiDE,12,0.0,1.324
M4 Hourly,TiDE,11,0.0,3.081
M4 Monthly,TiDE,11,0.0,1.122
M4 Quarterly,TiDE,15,0.0,1.469
M4 Weekly,TiDE,10,1.0,0.56
NN5 Daily,TiDE,16,0.0,0.962
NN5 Weekly,TiDE,4,13.0,0.848
Pedestrians,TiDE,2,18.0,0.245
Rideshare,TiDE,17,0.0,4.164
Saugeen,TiDE,13,0.0,1.536
Solar 10 Mins,TiDE,12,0.0,1.473
Solar Weekly,TiDE,8,4.0,1.099
Sunspot,TiDE,19,0.0,0.174
Temp. Rain,TiDE,14,0.0,1.201
Tourism Monthly,TiDE,13,0.0,1.705
Tourism Quarterly,TiDE,16,0.0,2.844
Tourism Yearly,TiDE,16,0.0,5.358
Traffic Hourly,TiDE,11,0.0,0.924
Traffic Weekly,TiDE,12,0.0,1.124
Vehicle Trips,TiDE,13,0.0,2.015
Weather,TiDE,6,8.0,0.648
Aus. Elecdemand,TimesFM(ZS) foundational,15,0.0,2.109
Bitcoin,TimesFM(ZS) foundational,9,2.0,5.366
Carparts,TimesFM(ZS) foundational,10,1.0,0.852
CIF 2016,TimesFM(ZS) foundational,12,0.0,1.261
COVID,TimesFM(ZS) foundational,19,0.0,8.794
Dominick,TimesFM(ZS) foundational,3,15.0,0.528
Electricity Hourly,TimesFM(ZS) foundational,14,0.0,2.265
Electricity Weekly,TimesFM(ZS) foundational,12,0.0,0.924
FRED-MD,TimesFM(ZS) foundational,13,0.0,0.635
Hospital,TimesFM(ZS) foundational,6,8.0,0.771
Kaggle Weekly,TimesFM(ZS) foundational,2,18.0,0.602
KDD,TimesFM(ZS) foundational,9,2.0,1.361
M1 Monthly,TimesFM(ZS) foundational,11,0.0,1.223
M1 Quarterly,TimesFM(ZS) foundational,9,2.0,1.882
M1 Yearly,TimesFM(ZS) foundational,13,0.0,5.257
M3 Monthly,TimesFM(ZS) foundational,8,4.0,0.983
M3 Other,TimesFM(ZS) foundational,19,0.0,
M3 Quarterly,TimesFM(ZS) foundational,9,2.0,1.29
M3 Yearly,TimesFM(ZS) foundational,14,0.0,3.428
M4 Daily,TimesFM(ZS) foundational,13,0.0,1.328
M4 Hourly,TimesFM(ZS) foundational,1,25.0,0.812
M4 Monthly,TimesFM(ZS) foundational,8,4.0,1.063
M4 Quarterly,TimesFM(ZS) foundational,12,0.0,1.37
M4 Weekly,TimesFM(ZS) foundational,2,18.0,0.463
NN5 Weekly,TimesFM(ZS) foundational,8,4.0,0.857
Pedestrians,TimesFM(ZS) foundational,6,8.0,0.257
Rideshare,TimesFM(ZS) foundational,3,15.0,2.985
Solar 10 Mins,TimesFM(ZS) foundational,11,0.0,1.456
Solar Weekly,TimesFM(ZS) foundational,5,10.0,0.97
Temp. Rain,TimesFM(ZS) foundational,10,1.0,1.05
Tourism Monthly,TimesFM(ZS) foundational,16,0.0,2.273
Tourism Quarterly,TimesFM(ZS) foundational,15,0.0,2.193
Tourism Yearly,TimesFM(ZS) foundational,7,6.0,3.259
Traffic Hourly,TimesFM(ZS) foundational,1,25.0,0.799
Traffic Weekly,TimesFM(ZS) foundational,1,25.0,1.04
Vehicle Trips,TimesFM(ZS) foundational,15,0.0,2.164
Weather,TimesFM(ZS) foundational,1,25.0,0.621
